127.0.0.1 - - [20/Oct/2022:16:51:49 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:51:50 +0900] "GET /practice01/loginForm.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:51:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:08 +0900] "POST /practice01/test05.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:08 +0900] "GET /practice01/login_form.html HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:24 +0900] "POST /practice01/test05.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:24 +0900] "GET /practice01/login_form.html HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:33 +0900] "GET /practice01/loginform.html HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:46 +0900] "GET /practice01/loginform.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:49 +0900] "POST /practice01/test05.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:52:54 +0900] "GET /practice01/login_ok.jsp?msg=%EB%A1%9C%EA%B7%B8%EC%9D%B8%20%EC%84%B1%EA%B3%B5%EC%B9%98%EC%B9%98 HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:58:03 +0900] "GET /practice01/login_ok.jsp?msg=%EB%A1%9C%EA%B7%B8%EC%9D%B8%20%EC%84%B1%EA%B3%B5%EC%B9%98%EC%B9%98 HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:58:07 +0900] "POST /practice01/test05.jsp HTTP/1.1" 500 2934
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:58:26 +0900] "POST /practice01/test05.jsp HTTP/1.1" 500 2979
0:0:0:0:0:0:0:1 - - [20/Oct/2022:16:59:28 +0900] "POST /practice01/test05.jsp HTTP/1.1" 500 3097
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:02:52 +0900] "POST /practice01/test05.jsp HTTP/1.1" 500 3097
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:03:06 +0900] "POST /practice01/test05.jsp HTTP/1.1" 500 3097
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:50:09 +0900] "GET /practice01/test07.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:50:16 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:50:18 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:50:18 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Oct/2022:17:50:24 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:13:16 +0900] "GET /practice01/test07.jsp HTTP/1.1" 500 2804
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:13:22 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:13:50 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:13:51 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:13:51 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:13:57 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:14:24 +0900] "GET /practice01/test07.jsp HTTP/1.1" 500 2804
0:0:0:0:0:0:0:1 - - [20/Oct/2022:18:14:27 +0900] "GET /practice01/test06.jsp HTTP/1.1" 200 510
